cell,variant,seed,target,budget,ttt_cpu,ttt_it,cpu,iters,best,wall
"K8(9,4)",base,17,10800,100,22.9102,31,22.91,31,10778,22.91
"K6(6,3)",p5+upick,7,10,45,-1.0,-1,45.0,547184,15,45.0
"K6(8,4)",p5+wide,2,20,90,0.9211,533,0.921,533,20,0.92
"K6(6,3)",base,15,10,45,3.047,21176,3.047,21176,8,3.05
"K8(9,4)",p5+wide,18,10800,100,3.2422,24,3.242,24,10764,3.24
"K6(6,3)",p5+upick,16,10,45,-1.0,-1,45.0,526976,61,45.0
"K8(9,4)",p5+wide,19,10800,100,2.8011,22,2.801,22,10798,2.8
"K8(9,4)",p5+wide,11,10800,100,2.8498,23,2.85,23,10798,2.85
"K8(9,4)",base,14,10800,100,21.3214,30,21.321,30,10797,21.32
"K8(9,4)",base,5,10800,100,21.6035,30,21.604,30,10768,21.6
"K6(8,4)",p5+fix0,11,20,90,0.8446,506,0.845,506,20,0.84
"K6(6,3)",p5,17,10,45,3.9716,61877,3.972,61877,9,3.97
"K6(8,4)",base,20,20,90,3.5047,381,3.505,381,20,3.51
"K8(9,4)",base,4,10800,100,19.9304,28,19.93,28,10791,19.93
"K6(6,3)",p5+fix0,1,10,45,-1.0,-1,45.0,768480,16,45.0
"K6(8,4)",base,7,20,90,3.9689,450,3.969,450,20,3.97
"K6(8,4)",p5+ucache,13,20,90,0.8382,504,0.838,504,20,0.84
"K6(8,4)",p5+ucache,4,20,90,1.2391,763,1.239,763,20,1.24
"K6(8,4)",p5+fix0,2,20,90,1.3039,805,1.304,805,20,1.31
"K6(6,3)",p5,11,10,45,13.7374,218349,13.737,218349,9,13.74
"K6(8,4)",p5+ucache,1,20,90,0.8561,529,0.856,529,20,0.86
"K6(8,4)",p5,19,20,90,1.522,912,1.522,912,20,1.52
"K8(9,4)",p5,5,10800,100,3.6572,30,3.657,30,10768,3.66
"K6(6,3)",p5,19,10,45,6.0754,103841,6.075,103841,10,6.08
"K8(9,4)",p5+wide,12,10800,100,2.7048,23,2.705,23,10790,2.7
"K6(6,3)",p5+wide,16,10,45,18.5706,292602,18.571,292602,10,18.57
"K6(8,4)",p5,1,20,90,1.5959,966,1.596,966,20,1.6
"K6(6,3)",p5+upick,17,10,45,23.8969,291031,23.897,291031,9,23.9
"K6(8,4)",p5+fix0,20,20,90,1.4875,898,1.488,898,20,1.49
"K8(9,4)",p5,2,10800,100,3.2134,28,3.213,28,10793,3.21
"K6(6,3)",p5+fix0,19,10,45,3.4939,54712,3.494,54712,10,3.49
"K6(8,4)",base,19,20,90,8.1782,912,8.178,912,20,8.18
"K6(6,3)",p5+fix0,14,10,45,2.6855,41607,2.686,41607,10,2.69
"K6(8,4)",p5+upick,11,20,90,1.7552,1056,1.755,1056,20,1.76
"K6(6,3)",p5+ucache,15,10,45,18.5435,286344,18.544,286344,9,18.54
"K6(6,3)",p5,8,10,45,14.2656,231050,14.266,231050,9,14.27
"K6(6,3)",p5+ucache,5,10,45,2.5125,37112,2.513,37112,10,2.51
"K6(8,4)",p5,12,20,90,0.714,435,0.714,435,20,0.71
